Year,Venezuela,World
1980,21.4,17.4
1981,16.2,15.2
1982,9.6,14.3
1983,6.2,13.5
1984,12.2,14.2
1985,11.4,13.9
1986,11.5,11.9
1987,28.1,14.7
1988,29.5,19.8
1989,84.5,23.2
1990,40.7,26.7
1991,34.2,17.4
1992,31.4,39.9
1993,38.1,40.5
1994,60.8,31.9
1995,59.9,16.3
1996,99.9,9.4
1997,50,6.5
1998,35.8,6.3
1999,23.6,6.3
2000,16.2,4.8
2001,12.5,4.6
2002,22.4,3.7
2003,31.1,3.9
2004,21.7,3.8
2005,16,4.1
2006,13.7,4
2007,18.7,4.3
2008,31.4,6.3
2009,26,2.8
2010,28.2,3.7
2011,26.1,5.1
2012,21.1,4.1
2013,40.6,3.7
2014,62.2,3.2
2015,121.7,2.8
2016,254.9,2.8
2017,438.1,3.2
